symbol,方向,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
2359,多,2025-01-03 09:05:00,165.5,2025-01-03 10:10:00,162.68,移動停利,-1.704,-1.925,164.5,160.5
2359,多,2025-01-06 09:05:00,162.0,2025-01-06 09:30:00,159.74,移動停利,-1.395,-1.616,161.0,159.0
2359,多,2025-01-07 09:25:00,165.5,2025-01-07 10:15:00,165.62,移動停利,0.073,-0.149,163.0,159.0
2359,多,2025-01-08 13:15:00,161.5,2025-01-08 13:25:00,161.0,收盤平倉,-0.31,-0.531,161.5,160.0
2359,多,2025-01-10 09:15:00,154.5,2025-01-10 12:30:00,151.9,移動停利,-1.683,-1.904,154.0,151.5
2359,多,2025-01-13 12:05:00,143.5,2025-01-13 13:25:00,143.0,收盤平倉,-0.348,-0.57,143.5,140.0
2359,多,2025-01-14 09:10:00,143.5,2025-01-14 13:25:00,144.0,收盤平倉,0.348,0.127,143.5,142.0
2359,多,2025-01-15 09:05:00,144.5,2025-01-15 09:25:00,142.0,EXIT,-1.73,-1.951,144.0,142.5
2359,多,2025-01-16 09:05:00,145.0,2025-01-16 13:25:00,146.5,收盤平倉,1.034,0.813,143.0,141.5
2359,多,2025-01-17 11:35:00,143.5,2025-01-17 13:25:00,143.0,收盤平倉,-0.348,-0.57,143.5,142.0
2359,多,2025-01-20 09:05:00,143.5,2025-01-20 13:25:00,143.5,收盤平倉,0.0,-0.221,142.5,142.0
2359,多,2025-01-21 10:55:00,142.5,2025-01-21 13:25:00,141.5,收盤平倉,-0.702,-0.923,142.5,140.0
2359,多,2025-01-22 09:45:00,142.0,2025-01-22 13:25:00,141.5,收盤平倉,-0.352,-0.573,142.0,141.0
2359,多,2025-02-03 11:50:00,135.0,2025-02-03 13:25:00,136.5,收盤平倉,1.111,0.89,134.0,133.0
2359,多,2025-02-04 10:55:00,134.5,2025-02-04 13:25:00,135.0,收盤平倉,0.372,0.15,134.5,132.5
2359,多,2025-02-05 09:05:00,138.0,2025-02-05 11:30:00,141.12,移動停利,2.261,2.04,137.0,135.0
2359,多,2025-02-06 09:05:00,143.0,2025-02-06 09:40:00,143.08,移動停利,0.056,-0.165,142.5,140.0
2359,多,2025-02-07 10:00:00,143.5,2025-02-07 13:25:00,143.5,收盤平倉,0.0,-0.221,143.5,142.0
2359,多,2025-02-10 09:50:00,145.0,2025-02-10 12:55:00,143.57,移動停利,-0.986,-1.207,144.5,142.0
2359,多,2025-02-11 09:05:00,146.0,2025-02-11 11:05:00,148.47,移動停利,1.692,1.471,144.5,143.5
2359,多,2025-02-12 09:05:00,153.5,2025-02-12 09:50:00,154.35,移動停利,0.554,0.332,151.0,149.0
2359,多,2025-02-13 11:45:00,152.0,2025-02-13 12:55:00,150.0,EXIT,-1.316,-1.537,151.5,150.5
2359,多,2025-02-14 09:05:00,152.0,2025-02-14 09:45:00,151.41,移動停利,-0.388,-0.609,150.5,149.5
2359,多,2025-02-17 09:05:00,151.0,2025-02-17 09:25:00,149.45,移動停利,-1.026,-1.248,147.0,145.0
2359,多,2025-02-18 10:55:00,155.0,2025-02-18 13:25:00,155.5,收盤平倉,0.323,0.101,154.0,153.0
2359,多,2025-02-19 09:05:00,156.5,2025-02-19 13:25:00,155.0,收盤平倉,-0.958,-1.18,155.5,154.5
2359,多,2025-02-20 11:25:00,153.5,2025-02-20 11:55:00,152.0,EXIT,-0.977,-1.198,153.5,152.5
2359,多,2025-02-21 09:40:00,153.5,2025-02-21 10:20:00,158.76,移動停利,3.427,3.205,153.0,151.0
2359,多,2025-02-25 09:25:00,160.0,2025-02-25 10:00:00,157.29,移動停利,-1.694,-1.915,159.5,157.0
2359,多,2025-02-26 09:20:00,155.5,2025-02-26 09:45:00,155.82,移動停利,0.206,-0.015,155.5,153.5
2359,多,2025-02-27 09:05:00,165.0,2025-02-27 09:10:00,164.15,移動停利,-0.515,-0.736,159.5,156.5
2359,多,2025-03-03 11:45:00,156.5,2025-03-03 13:25:00,156.5,收盤平倉,0.0,-0.221,156.0,154.5
2359,多,2025-03-04 09:30:00,156.0,2025-03-04 13:25:00,156.5,收盤平倉,0.321,0.099,155.5,152.5
2359,多,2025-03-05 09:05:00,158.0,2025-03-05 12:55:00,155.82,移動停利,-1.38,-1.601,157.5,156.0
2359,多,2025-03-06 13:15:00,154.0,2025-03-06 13:25:00,153.5,收盤平倉,-0.325,-0.546,154.0,153.0
2359,多,2025-03-07 12:05:00,152.0,2025-03-07 12:40:00,150.5,EXIT,-0.987,-1.208,152.0,151.5
2359,多,2025-03-10 12:50:00,149.0,2025-03-10 13:25:00,148.5,收盤平倉,-0.336,-0.557,149.0,148.0
2359,多,2025-03-11 09:55:00,144.5,2025-03-11 13:25:00,145.0,收盤平倉,0.346,0.125,144.5,141.0
2359,多,2025-03-12 09:05:00,148.0,2025-03-12 13:25:00,148.5,收盤平倉,0.338,0.117,145.5,144.5
2359,多,2025-03-13 09:05:00,152.0,2025-03-13 09:15:00,152.88,移動停利,0.579,0.358,149.0,147.5
2359,多,2025-03-14 11:20:00,151.0,2025-03-14 12:15:00,152.39,移動停利,0.921,0.699,150.5,148.0
2359,多,2025-03-17 09:05:00,161.5,2025-03-17 09:20:00,159.25,移動停利,-1.393,-1.614,158.5,150.0
