symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
2492,空,回踩,2026-02-09 11:35:00,122.5,2026-02-09 13:30:00,122.0,收盤平倉,0.408,0.187,123.5,123.0
2492,空,回踩,2026-02-11 09:10:00,123.0,2026-02-11 10:00:00,124.0,移動停利,-0.813,-1.034,124.0,123.0
2492,空,回踩,2026-03-05 09:35:00,133.0,2026-03-05 10:45:00,132.0,移動停利,0.752,0.531,136.0,133.0
2492,空,回踩,2026-03-10 09:35:00,126.5,2026-03-10 10:15:00,128.5,移動停利,-1.581,-1.802,128.5,126.5
2492,空,回踩,2026-03-16 09:25:00,127.5,2026-03-16 09:55:00,129.5,移動停利,-1.569,-1.79,131.0,128.5
2492,空,回踩,2026-03-23 09:25:00,125.0,2026-03-23 13:30:00,123.5,收盤平倉,1.2,0.979,131.5,130.5
2492,空,回踩,2026-03-24 10:55:00,123.5,2026-03-24 12:05:00,125.5,移動停利,-1.619,-1.841,128.0,123.5
2492,空,回踩,2026-03-26 10:20:00,128.0,2026-03-26 13:30:00,126.5,收盤平倉,1.172,0.951,131.5,129.0
2492,空,回踩,2026-03-27 09:15:00,123.5,2026-03-27 11:20:00,125.0,移動停利,-1.215,-1.436,128.0,126.0
2492,空,回踩,2026-03-30 09:20:00,123.0,2026-03-30 11:10:00,123.5,移動停利,-0.407,-0.628,128.0,125.0
2492,空,回踩,2026-04-01 13:15:00,118.0,2026-04-01 13:30:00,118.0,收盤平倉,0.0,-0.221,122.0,120.0
2492,空,回踩,2026-04-07 12:05:00,115.0,2026-04-07 13:30:00,114.0,收盤平倉,0.87,0.648,117.0,115.5
2492,空,回踩,2026-04-10 11:20:00,128.5,2026-04-10 12:05:00,130.5,移動停利,-1.556,-1.778,131.5,129.5
2492,空,回踩,2026-04-24 10:25:00,127.5,2026-04-24 10:55:00,129.5,移動停利,-1.569,-1.79,133.0,130.0
2492,空,回踩,2026-04-27 09:10:00,125.5,2026-04-27 09:30:00,129.0,移動停利,-2.789,-3.01,130.0,129.5
2492,空,回踩,2026-05-04 11:30:00,138.0,2026-05-04 13:30:00,138.5,收盤平倉,-0.362,-0.584,143.5,139.0
