symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
3264,空,突破,2026-02-06 09:00:00,144.0,2026-02-06 09:10:00,143.5,移動停利,0.347,0.126,148.5,147.5
3264,空,突破,2026-02-09 12:15:00,150.5,2026-02-09 13:30:00,151.0,收盤平倉,-0.332,-0.553,155.0,151.0
3264,空,突破,2026-02-24 10:45:00,153.0,2026-02-24 10:50:00,155.5,移動停利,-1.634,-1.855,154.5,153.0
3264,空,突破,2026-03-03 09:00:00,148.5,2026-03-03 09:10:00,151.0,移動停利,-1.684,-1.905,150.5,148.5
3264,空,突破,2026-03-04 09:15:00,137.5,2026-03-04 09:35:00,140.5,移動停利,-2.182,-2.403,143.5,138.0
3264,空,突破,2026-03-05 10:40:00,140.0,2026-03-05 11:05:00,142.5,移動停利,-1.786,-2.007,147.0,142.5
3264,空,突破,2026-03-06 09:00:00,141.5,2026-03-06 13:00:00,141.0,移動停利,0.353,0.132,143.0,141.5
3264,空,突破,2026-03-09 09:00:00,131.5,2026-03-09 12:30:00,131.5,移動停利,0.0,-0.221,144.0,140.0
3264,空,突破,2026-03-10 10:50:00,143.5,2026-03-10 12:40:00,144.5,移動停利,-0.697,-0.918,146.0,143.5
3264,空,突破,2026-03-11 11:20:00,155.5,2026-03-11 13:30:00,154.0,收盤平倉,0.965,0.743,159.0,155.5
3264,空,突破,2026-03-24 10:05:00,144.5,2026-03-24 10:25:00,146.5,移動停利,-1.384,-1.605,151.0,145.0
3264,空,突破,2026-03-25 11:05:00,154.5,2026-03-25 13:30:00,154.5,收盤平倉,0.0,-0.221,156.0,154.5
