symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
3708,多,突破,2026-02-24 09:05:00,116.5,2026-02-24 09:20:00,114.0,移動停利,-2.146,-2.367,116.0,113.0
3708,多,突破,2026-03-03 10:15:00,121.5,2026-03-03 13:30:00,119.5,移動停利,-1.646,-1.867,121.5,120.0
3708,多,突破,2026-03-09 12:30:00,117.5,2026-03-09 13:30:00,119.5,收盤平倉,1.702,1.481,116.5,114.5
3708,多,突破,2026-03-30 09:20:00,123.5,2026-03-30 09:55:00,122.0,移動停利,-1.215,-1.436,123.0,120.5
3708,多,突破,2026-04-02 11:20:00,121.0,2026-04-02 11:45:00,118.5,移動停利,-2.066,-2.287,121.0,118.0
3708,多,突破,2026-04-17 09:35:00,121.5,2026-04-17 10:20:00,123.5,移動停利,1.646,1.425,121.0,119.5
3708,多,突破,2026-04-20 09:35:00,126.5,2026-04-20 13:30:00,128.0,收盤平倉,1.186,0.965,126.0,124.5
3708,多,突破,2026-04-21 09:15:00,130.0,2026-04-21 11:20:00,128.0,移動停利,-1.538,-1.76,129.0,126.5
3708,多,突破,2026-04-23 09:40:00,131.0,2026-04-23 10:05:00,128.0,移動停利,-2.29,-2.511,131.0,127.5
3708,多,突破,2026-04-24 13:05:00,123.5,2026-04-24 13:30:00,122.5,收盤平倉,-0.81,-1.031,123.0,121.5
3708,多,突破,2026-05-05 09:45:00,124.0,2026-05-05 11:00:00,123.0,移動停利,-0.806,-1.028,124.0,121.0
3708,多,突破,2026-05-07 09:45:00,123.0,2026-05-07 10:10:00,121.0,EXIT,-1.626,-1.847,123.0,121.5
