symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
8054,多,兩者,2026-02-05 09:10:00,132.0,2026-02-05 09:25:00,133.47,移動停利,1.114,0.842,130.5,128.0
8054,多,兩者,2026-02-06 12:25:00,126.0,2026-02-06 12:45:00,125.59,移動停利,-0.325,-0.597,125.5,123.5
8054,多,兩者,2026-04-13 09:15:00,102.0,2026-04-13 11:40:00,100.47,移動停利,-1.5,-1.771,102.0,98.4
8054,多,兩者,2026-04-14 09:05:00,101.0,2026-04-14 09:30:00,99.48,移動停利,-1.505,-1.776,100.5,99.0
8054,多,兩者,2026-04-15 09:05:00,103.0,2026-04-15 09:20:00,101.45,移動停利,-1.505,-1.776,99.7,99.2
8054,多,兩者,2026-04-16 09:05:00,99.0,2026-04-16 09:10:00,99.48,移動停利,0.485,0.214,99.0,97.4
8054,多,兩者,2026-04-17 09:35:00,108.0,2026-04-17 10:10:00,107.86,移動停利,-0.13,-0.401,107.5,104.0
8054,多,兩者,2026-04-20 09:05:00,106.5,2026-04-20 09:10:00,106.87,移動停利,0.347,0.076,106.0,105.0
8054,多,兩者,2026-04-21 09:05:00,106.5,2026-04-21 09:15:00,106.87,移動停利,0.347,0.076,105.0,103.5
8054,多,兩者,2026-04-22 09:05:00,124.5,2026-04-22 13:25:00,124.5,收盤平倉,0.0,-0.271,113.5,113.5
8054,多,兩者,2026-04-23 13:00:00,114.0,2026-04-23 13:20:00,113.27,移動停利,-0.64,-0.912,112.5,112.5
8054,多,兩者,2026-04-24 09:15:00,116.5,2026-04-24 09:25:00,115.25,移動停利,-1.073,-1.344,114.5,112.0
8054,多,兩者,2026-04-27 09:05:00,108.5,2026-04-27 09:10:00,106.87,移動停利,-1.502,-1.774,106.5,106.0
8054,多,兩者,2026-04-28 09:05:00,108.0,2026-04-28 09:10:00,107.86,移動停利,-0.13,-0.401,105.5,104.5
8054,多,兩者,2026-04-29 11:45:00,109.5,2026-04-29 12:50:00,108.35,移動停利,-1.05,-1.321,109.0,107.5
8054,多,兩者,2026-04-30 09:10:00,110.0,2026-04-30 09:45:00,108.84,移動停利,-1.055,-1.326,108.0,107.0
8054,多,兩者,2026-05-05 09:05:00,107.5,2026-05-05 09:25:00,108.35,移動停利,0.791,0.519,106.5,105.5
8054,多,兩者,2026-05-06 09:05:00,114.0,2026-05-06 09:15:00,112.29,移動停利,-1.5,-1.771,112.0,111.0
8054,多,兩者,2026-05-07 12:15:00,107.0,2026-05-07 13:25:00,107.0,收盤平倉,0.0,-0.271,107.0,106.0
8054,多,兩者,2026-05-08 09:05:00,107.5,2026-05-08 09:45:00,107.36,移動停利,-0.13,-0.401,107.5,107.0
