symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
8054,多,回踩,2026-02-05 12:40:00,136.5,2026-02-05 13:20:00,134.94,移動停利,-1.143,-1.414,136.0,133.5
8054,多,回踩,2026-02-06 12:30:00,127.0,2026-02-06 12:45:00,125.59,移動停利,-1.11,-1.381,125.5,123.5
8054,多,回踩,2026-04-14 09:40:00,100.5,2026-04-14 10:20:00,99.98,移動停利,-0.517,-0.789,100.5,99.0
8054,多,回踩,2026-04-16 09:15:00,101.5,2026-04-16 09:30:00,102.93,移動停利,1.409,1.138,99.0,97.4
8054,多,回踩,2026-04-20 09:10:00,108.0,2026-04-20 09:25:00,107.36,移動停利,-0.593,-0.864,106.0,105.0
8054,多,回踩,2026-04-21 09:15:00,108.0,2026-04-21 09:30:00,107.86,移動停利,-0.13,-0.401,105.0,103.5
8054,多,回踩,2026-04-28 09:15:00,108.5,2026-04-28 09:35:00,109.33,移動停利,0.765,0.494,105.5,104.5
8054,多,回踩,2026-04-30 12:05:00,109.0,2026-04-30 12:20:00,107.5,EXIT,-1.376,-1.647,109.5,108.0
8054,多,回踩,2026-05-05 09:15:00,109.5,2026-05-05 09:30:00,107.86,移動停利,-1.498,-1.769,106.5,105.5
8054,多,回踩,2026-05-08 12:00:00,107.5,2026-05-08 13:25:00,106.0,收盤平倉,-1.395,-1.667,107.0,104.0
