symbol,方向,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
5443,多,2026-02-04 11:30:00,89.3,2026-02-04 13:25:00,89.8,收盤平倉,0.56,0.339,89.3,89.1
5443,多,2026-02-05 09:20:00,90.1,2026-02-05 10:15:00,89.57,移動停利,-0.588,-0.809,89.2,87.3
5443,多,2026-02-25 09:05:00,87.8,2026-02-25 11:10:00,87.22,移動停利,-0.661,-0.882,87.1,86.8
5443,多,2026-02-26 09:05:00,91.4,2026-02-26 09:15:00,92.41,移動停利,1.105,0.884,88.6,88.0
5443,多,2026-03-02 09:20:00,92.9,2026-03-02 13:25:00,93.7,收盤平倉,0.861,0.64,91.9,87.6
5443,多,2026-03-03 09:10:00,95.1,2026-03-03 09:35:00,94.57,移動停利,-0.557,-0.779,94.8,92.8
5443,多,2026-03-06 10:20:00,94.4,2026-03-06 13:25:00,95.1,收盤平倉,0.742,0.52,94.1,92.1
5443,多,2026-03-09 11:20:00,90.0,2026-03-09 13:25:00,90.2,收盤平倉,0.222,0.001,89.4,88.5
5443,多,2026-03-10 09:05:00,94.8,2026-03-10 11:00:00,95.35,移動停利,0.58,0.359,90.3,89.5
5443,多,2026-03-11 09:05:00,97.4,2026-03-11 12:00:00,97.61,移動停利,0.216,-0.006,94.2,93.0
5443,多,2026-03-13 10:55:00,97.0,2026-03-13 13:25:00,96.5,收盤平倉,-0.515,-0.737,97.0,93.9
5443,多,2026-03-16 09:50:00,99.2,2026-03-16 10:20:00,100.45,移動停利,1.26,1.039,98.5,96.4
5443,多,2026-03-17 09:05:00,110.5,2026-03-17 09:10:00,108.29,移動停利,-2.0,-2.221,106.0,106.0
5443,多,2026-03-18 09:05:00,103.5,2026-03-18 09:10:00,102.9,移動停利,-0.58,-0.801,103.5,101.0
5443,多,2026-03-19 11:25:00,104.5,2026-03-19 13:15:00,103.0,EXIT,-1.435,-1.657,104.0,103.5
5443,多,2026-03-20 09:05:00,105.5,2026-03-20 09:10:00,105.35,移動停利,-0.142,-0.363,105.0,103.0
5443,多,2026-03-23 09:50:00,103.5,2026-03-23 10:10:00,105.84,移動停利,2.261,2.04,103.5,96.5
