symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
5443,多,突破,2026-02-26 09:10:00,91.9,2026-02-26 09:25:00,91.8,移動停利,-0.109,-0.33,91.5,88.7
5443,多,突破,2026-03-02 10:45:00,93.0,2026-03-02 13:30:00,93.2,收盤平倉,0.215,-0.006,93.0,90.9
5443,多,突破,2026-03-09 09:10:00,91.3,2026-03-09 09:25:00,89.8,移動停利,-1.643,-1.864,90.9,88.7
5443,多,突破,2026-03-10 09:20:00,96.2,2026-03-10 10:10:00,95.6,移動停利,-0.624,-0.845,96.2,92.8
5443,多,突破,2026-03-12 09:35:00,98.3,2026-03-12 10:00:00,96.7,移動停利,-1.628,-1.849,98.4,95.9
5443,多,突破,2026-03-16 10:05:00,100.5,2026-03-16 13:30:00,106.0,收盤平倉,5.473,5.251,100.0,97.6
5443,多,突破,2026-03-17 11:20:00,105.5,2026-03-17 11:45:00,104.0,移動停利,-1.422,-1.643,105.5,103.5
5443,多,突破,2026-03-23 10:10:00,106.0,2026-03-23 10:35:00,104.0,移動停利,-1.887,-2.108,106.0,104.0
5443,多,突破,2026-03-24 11:55:00,101.5,2026-03-24 12:45:00,100.5,移動停利,-0.985,-1.206,99.2,97.7
5443,多,突破,2026-03-25 09:15:00,105.5,2026-03-25 13:25:00,105.5,移動停利,0.0,-0.221,105.5,103.5
5443,多,突破,2026-03-31 09:30:00,102.0,2026-03-31 10:30:00,102.5,移動停利,0.49,0.269,101.5,99.8
5443,多,突破,2026-04-08 09:35:00,106.5,2026-04-08 13:30:00,108.0,收盤平倉,1.408,1.187,106.0,104.0
5443,多,突破,2026-04-09 10:00:00,115.5,2026-04-09 12:30:00,116.5,移動停利,0.866,0.645,114.0,111.5
5443,多,突破,2026-04-14 11:00:00,115.0,2026-04-14 13:30:00,117.0,收盤平倉,1.739,1.518,112.5,109.5
5443,多,突破,2026-04-20 09:20:00,120.5,2026-04-20 12:30:00,120.5,移動停利,0.0,-0.221,120.5,116.0
5443,多,突破,2026-04-21 09:00:00,124.5,2026-04-21 09:05:00,121.0,移動停利,-2.811,-3.032,123.5,120.5
5443,多,突破,2026-04-24 09:15:00,116.0,2026-04-24 10:25:00,117.0,移動停利,0.862,0.641,116.0,113.0
5443,多,突破,2026-04-29 09:25:00,113.0,2026-04-29 13:05:00,121.0,移動停利,7.08,6.858,113.0,110.0
5443,多,突破,2026-04-30 09:55:00,131.0,2026-04-30 10:00:00,128.0,移動停利,-2.29,-2.511,130.0,124.0
5443,多,突破,2026-05-04 09:00:00,132.0,2026-05-04 09:05:00,128.5,移動停利,-2.652,-2.873,131.5,128.5
5443,多,突破,2026-05-06 11:50:00,129.5,2026-05-06 13:30:00,129.0,收盤平倉,-0.386,-0.607,129.0,127.0
5443,多,突破,2026-05-08 09:30:00,127.0,2026-05-08 09:40:00,124.5,移動停利,-1.969,-2.19,125.5,123.0
5443,多,突破,2026-05-11 09:15:00,125.0,2026-05-11 10:00:00,126.5,移動停利,1.2,0.979,125.0,121.5
5443,多,回踩,2026-02-26 09:40:00,93.3,2026-02-26 13:15:00,91.9,移動停利,-1.501,-1.722,91.5,88.7
5443,多,回踩,2026-03-02 10:55:00,92.9,2026-03-02 13:30:00,93.2,收盤平倉,0.323,0.102,93.0,90.9
5443,多,回踩,2026-03-10 09:30:00,97.1,2026-03-10 10:10:00,95.6,移動停利,-1.545,-1.766,96.2,92.8
5443,多,回踩,2026-03-12 09:45:00,97.9,2026-03-12 10:05:00,96.3,移動停利,-1.634,-1.856,98.4,95.9
5443,多,回踩,2026-03-23 10:20:00,105.5,2026-03-23 10:45:00,103.5,移動停利,-1.896,-2.117,106.0,104.0
5443,多,回踩,2026-03-25 09:25:00,106.5,2026-03-25 13:25:00,105.5,移動停利,-0.939,-1.16,105.5,103.5
5443,多,回踩,2026-03-31 09:40:00,101.5,2026-03-31 10:30:00,102.5,移動停利,0.985,0.764,101.5,99.8
5443,多,回踩,2026-04-08 10:30:00,106.0,2026-04-08 13:30:00,108.0,收盤平倉,1.887,1.666,106.0,104.0
5443,多,回踩,2026-04-14 11:30:00,114.5,2026-04-14 13:30:00,117.0,收盤平倉,2.183,1.962,112.5,109.5
5443,多,回踩,2026-04-24 10:50:00,117.5,2026-04-24 12:00:00,118.0,移動停利,0.426,0.204,116.0,113.0
5443,多,回踩,2026-04-29 10:25:00,116.0,2026-04-29 13:05:00,121.0,移動停利,4.31,4.089,113.0,110.0
5443,多,回踩,2026-04-30 11:20:00,129.5,2026-04-30 12:10:00,129.0,移動停利,-0.386,-0.607,130.0,124.0
5443,多,回踩,2026-05-04 09:20:00,133.5,2026-05-04 09:45:00,130.5,移動停利,-2.247,-2.468,131.5,128.5
5443,多,兩者,2026-02-26 09:15:00,93.4,2026-02-26 09:25:00,91.8,移動停利,-1.713,-1.934,91.5,88.7
5443,多,兩者,2026-03-02 11:00:00,93.1,2026-03-02 13:30:00,93.2,收盤平倉,0.107,-0.114,93.0,90.9
5443,多,兩者,2026-03-10 09:30:00,97.1,2026-03-10 10:10:00,95.6,移動停利,-1.545,-1.766,96.2,92.8
5443,多,兩者,2026-03-16 10:10:00,101.5,2026-03-16 13:30:00,106.0,收盤平倉,4.433,4.212,100.0,97.6
5443,多,兩者,2026-03-17 11:25:00,106.5,2026-03-17 11:45:00,104.0,移動停利,-2.347,-2.569,105.5,103.5
5443,多,兩者,2026-03-24 12:00:00,102.5,2026-03-24 12:45:00,100.5,移動停利,-1.951,-2.172,99.2,97.7
5443,多,兩者,2026-03-25 09:20:00,105.5,2026-03-25 13:25:00,105.5,移動停利,0.0,-0.221,105.5,103.5
5443,多,兩者,2026-03-31 09:40:00,101.5,2026-03-31 10:30:00,102.5,移動停利,0.985,0.764,101.5,99.8
5443,多,兩者,2026-04-08 10:30:00,106.0,2026-04-08 13:30:00,108.0,收盤平倉,1.887,1.666,106.0,104.0
5443,多,兩者,2026-04-09 10:05:00,118.5,2026-04-09 12:30:00,116.5,移動停利,-1.688,-1.909,114.0,111.5
5443,多,兩者,2026-04-14 11:30:00,114.5,2026-04-14 13:30:00,117.0,收盤平倉,2.183,1.962,112.5,109.5
5443,多,兩者,2026-04-20 09:25:00,125.0,2026-04-20 12:30:00,120.5,移動停利,-3.6,-3.821,120.5,116.0
5443,多,兩者,2026-04-24 09:20:00,116.0,2026-04-24 10:25:00,117.0,移動停利,0.862,0.641,116.0,113.0
5443,多,兩者,2026-04-29 09:30:00,114.5,2026-04-29 13:05:00,121.0,移動停利,5.677,5.456,113.0,110.0
5443,多,兩者,2026-04-30 11:55:00,131.0,2026-04-30 12:10:00,129.0,移動停利,-1.527,-1.748,130.0,124.0
5443,多,兩者,2026-05-04 09:20:00,133.5,2026-05-04 09:45:00,130.5,移動停利,-2.247,-2.468,131.5,128.5
5443,多,兩者,2026-05-06 12:10:00,129.5,2026-05-06 13:30:00,129.0,收盤平倉,-0.386,-0.607,129.0,127.0
5443,多,兩者,2026-05-08 09:35:00,126.0,2026-05-08 09:55:00,123.5,移動停利,-1.984,-2.205,125.5,123.0
5443,多,兩者,2026-05-11 09:20:00,125.5,2026-05-11 10:00:00,126.5,移動停利,0.797,0.576,125.0,121.5
5443,空,突破,2026-04-07 09:55:00,100.5,2026-04-07 11:25:00,103.5,移動停利,-2.985,-3.206,103.0,101.0
5443,空,突破,2026-04-28 09:55:00,110.0,2026-04-28 10:10:00,112.0,移動停利,-1.818,-2.039,113.0,110.5
5443,空,回踩,2026-04-07 10:40:00,101.0,2026-04-07 11:25:00,103.5,移動停利,-2.475,-2.696,103.0,101.0
5443,空,回踩,2026-04-28 10:25:00,111.0,2026-04-28 11:10:00,113.5,移動停利,-2.252,-2.474,113.0,110.5
5443,空,兩者,2026-04-07 10:00:00,100.5,2026-04-07 11:25:00,103.5,移動停利,-2.985,-3.206,103.0,101.0
