股票,現價,狀態,日K方向,30分K方向,前高（3日）,大量K高點,30分平台高,距前高%,距大量K高%,距平台高%,前低（3日）,大量K低點,日MA20,距前低%,距大量K低%,距日MA20%
2367 燿華,64.8,趨勢多,多,多,65.8,-,65.8,1.54,-,1.54,60.0,-,62.62,7.41,-,3.36
4979 華星光,659.0,趨勢空,空,空,717.0,-,678.0,8.8,-,2.88,634.0,-,672.75,3.79,-,-2.09
6919 康霈,97.1,趨勢空,空,空,105.0,-,98.9,8.14,-,1.85,97.1,-,101.28,0.0,-,-4.3
8054 安國,102.5,趨勢空,空,空,109.0,-,103.5,6.34,-,0.98,101.5,-,104.88,0.98,-,-2.32
5443 均豪,128.0,趨勢多,多,多,132.0,-,129.5,3.12,-,1.17,118.5,-,126.0,7.42,-,1.56
2492 華新科,188.5,趨勢多,多,多,188.5,-,188.5,0.0,-,0.0,151.5,-,169.0,19.63,-,10.34
2337 旺宏,153.0,趨勢空,空,空,164.5,-,155.0,7.52,-,1.31,149.0,-,157.5,2.61,-,-2.94
6462 神盾,131.0,趨勢多,多,多,132.5,-,132.5,1.15,-,1.15,122.0,-,128.38,6.87,-,2.0
2359 所羅門,128.0,趨勢多,多,多,130.5,-,130.5,1.95,-,1.95,118.0,-,122.62,7.81,-,4.2
3708 上緯投控,121.5,盤整,多,空,124.5,-,124.5,2.47,-,2.47,117.0,-,120.5,3.7,-,0.82
3264 欣銓,228.5,盤整,空,多,244.5,-,229.5,7.0,-,0.44,216.5,-,231.62,5.25,-,-1.37
